"ID ,Date ,Feature ,Sub-Category ,Comments"
"1,11/1/24,Food ,Juice ,The juice is not good. Did not like "
"2,11/1/24,Home ,Kitchen ,The mugs were awesome! Will buy again "
"3,11/1/24,Books ,Sci-Fi ,I love the Harry Potter series!! "
"4,11/1/24,Food ,Juice ,Amazing product. Will buy again!! "
"5,11/1/24,Home ,Kitchen ,Horribel product "
"6,11/1/24,Books ,Sci-Fi ,fix your book quality "
"7,11/1/24,Food ,Juice ,meh "
"8,11/1/24,Books ,Sci-Fi ,good "
"9,11/1/24,Home ,Kitchen ,mugs were fine! Had to order online since not available in-person "
"10,11/1/24,Home ,Kitchen ,mugs were horribleï¿½ "
"11, 1/1/25,Home ,Kitchen ,mugs seem fine! Placed online order as not available in store "